Timestamp,Score,Question 1.1,Question 1.2,Question 1.3,Question 1.4,Question 1.5,Question 1.6,Question 1.7,Question 1.8,Question 1.9,Question 1.10,Question 1.11,Question 1.12,Question 1.13,Question 1.14,Question 1.15,Question 2.1,Question 2.2,Question 2.3,Question 2.4,Question 2.5,Question 2.6,Question 2.7,Question 2.8,Question 2.9,Question 2.10,Question 3.1 [Image 1],Question 3.1 [Image 2],Question 3.1 [Image 3],Question 3.2 [Image 1],Question 3.2 [Image 2],Question 3.2 [Image 3],Question 3.3 [Image 1],Question 3.3 [Image 2],Question 3.3 [Image 3],Question 3.4 [Image 1],Question 3.4 [Image 2],Question 3.4 [Image 3],Question 3.5 [Image 1],Question 3.5 [Image 2],Question 3.5 [Image 3],Question 3.6 [Image 1],Question 3.6 [Image 2],Question 3.6 [Image 3],Question 3.7 [Image 1],Question 3.7 [Image 2],Question 3.7 [Image 3],Question 3.8 [Image 1],Question 3.8 [Image 2],Question 3.8 [Image 3],Question 3.9 [Image 1],Question 3.9 [Image 2],Question 3.9 [Image 3],Question 3.10 [Image 1],Question 3.10 [Image 2],Question 3.10 [Image 3],Question 4.1,Question 4.2,Question 4.3,Question 4.4,Question 4.5,Question 4.6,Question 4.7,Question 4.8,Question 4.9,Question 4.10,Question 4.11,Option 4.12,Question 4.13,Question 4.14,Question 4.15,Question 5.1,Question 5.2,Question 5.3,Question 5.4,Question 5.5,Question 5.6,Question 5.7,Question 5.8,Question 5.9,Question 5.10
30/03/2021 07:58:31,,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,3,1,2,1,2,3,2,3,1,1,2,3,1,3,2,3,1,2,1,2,3,1,3,2,1,2,3,1,2,3,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
31/03/2021 11:39:30,,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,2,3,1,3,2,1,1,2,3,3,1,2,1,3,2,2,3,1,1,2,3,1,3,2,1,2,3,3,1,2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
31/03/2021 15:35:12,,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,3,2,1,3,1,2,2,3,1,1,2,3,1,3,2,,,,1,2,3,1,2,3,2,3,1,3,1,2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
31/03/2021 15:53:15,,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 1,Option 2,3,2,1,1,3,2,2,3,1,1,2,3,1,3,2,3,2,1,1,2,3,1,3,2,1,3,2,2,1,3,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
31/03/2021 16:09:24,,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,3,2,1,1,2,3,1,3,2,1,2,3,1,3,2,3,1,2,2,3,1,2,3,1,1,2,3,3,1,2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
31/03/2021 16:18:03,,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,2,1,3,1,2,3,2,3,1,1,3,2,2,1,3,Option 2,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
31/03/2021 16:22:40,,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,3,1,2,3,1,2,2,1,3,3,1,2,1,3,2,3,1,2,1,2,3,3,2,1,1,2,3,1,2,3,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1
31/03/2021 16:57:19,,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,1,3,2,2,1,3,3,1,2,1,3,2,3,2,1,2,1,3,3,2,1,1,2,3,3,2,1,1,2,3,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2
31/03/2021 17:11:16,,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,1,2,3,1,2,3,3,1,2,3,2,1,3,1,2,3,1,2,3,2,1,2,1,3,3,1,2,1,3,2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1
31/03/2021 18:13:23,,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,3,1,2,1,2,3,2,3,1,1,2,3,1,3,2,3,1,2,1,2,3,1,3,2,1,3,2,2,1,3,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1
